header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
PQ066187.1,Zika virus,genomic RNA,UWARN_02_G007,blood,Homo sapiens; female,Pakistan,21-Nov-2021
PQ066186.1,Zika virus,genomic RNA,UWARN_02_G005,blood,Homo sapiens; male,Pakistan,17-Nov-2021
PQ869266.1,Zika virus,genomic RNA,Thai/Sen-NS5,,,missing: synthetic construct,missing: synthetic construct
PQ869265.1,Zika virus,genomic RNA,Thai/Sen-NS4,,,missing: synthetic construct,missing: synthetic construct
PQ869264.1,Zika virus,genomic RNA,Thai/Sen-NS3,,,missing: synthetic construct,missing: synthetic construct
PQ869263.1,Zika virus,genomic RNA,Thai/Sen-NS2,,,missing: synthetic construct,missing: synthetic construct
PQ869262.1,Zika virus,genomic RNA,Thai/Sen-NS1,,,missing: synthetic construct,missing: synthetic construct
PQ869261.1,Zika virus,genomic RNA,Thai/Sen-E,,,missing: synthetic construct,missing: synthetic construct
PQ869260.1,Zika virus,genomic RNA,Thai/Sen-prM,,,missing: synthetic construct,missing: synthetic construct
PQ869259.1,Zika virus,genomic RNA,Thai/Sen-C,,,missing: synthetic construct,missing: synthetic construct
PQ869258.1,Zika virus,genomic RNA,Sen/Thai-NS5,,,missing: synthetic construct,missing: synthetic construct
PQ869257.1,Zika virus,genomic RNA,Sen/Thai-NS4,,,missing: synthetic construct,missing: synthetic construct
PQ869256.1,Zika virus,genomic RNA,Sen/Thai-NS3,,,missing: synthetic construct,missing: synthetic construct
PQ869255.1,Zika virus,genomic RNA,Sen/Thai-NS2,,,missing: synthetic construct,missing: synthetic construct
PQ869254.1,Zika virus,genomic RNA,Sen/Thai-NS1,,,missing: synthetic construct,missing: synthetic construct
PQ869253.1,Zika virus,genomic RNA,Sen/Thai-E,,,missing: synthetic construct,missing: synthetic construct
PQ869252.1,Zika virus,genomic RNA,Sen/Thai-prM,,,missing: synthetic construct,missing: synthetic construct
PQ869251.1,Zika virus,genomic RNA,Sen/Thai-C,,,missing: synthetic construct,missing: synthetic construct
PQ869250.1,Zika virus,genomic RNA,Thai/Sen-UTR,,,missing: synthetic construct,missing: synthetic construct
PQ869249.1,Zika virus,genomic RNA,Sen/Thai-UTR,,,missing: synthetic construct,missing: synthetic construct
PQ869248.1,Zika virus,genomic RNA,Thai/Sen-nSP,,,missing: synthetic construct,missing: synthetic construct
PQ869247.1,Zika virus,genomic RNA,Sen/Thai-nSP,,,missing: synthetic construct,missing: synthetic construct
PQ869246.1,Zika virus,genomic RNA,Thai/Sen-SP,,,missing: synthetic construct,missing: synthetic construct
PQ869245.1,Zika virus,genomic RNA,Sen/Thai-SP,,,missing: synthetic construct,missing: synthetic construct
PQ869244.1,Zika virus,genomic RNA,rThailand,,,missing: synthetic construct,missing: synthetic construct
PQ869243.1,Zika virus,genomic RNA,rSenegal,,,missing: synthetic construct,missing: synthetic construct
PQ849443.1,Zika virus,genomic RNA,,,,missing: synthetic construct,missing: synthetic construct
PQ849442.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/KHM/2010/FSS13025,,Homo sapiens,Cambodia,2010
PQ008648.1,Zika virus,genomic RNA,PD5588109,plasma,Homo sapiens,Seychelles,20-Apr-2024
PQ567007.1,Zika virus,genomic RNA,36ARB0134_S59,plasma,Homo sapiens; female,Honduras,19-May-2016
PP431251.1,Zika virus,genomic RNA,S8,,Homo sapiens,Colombia,2016-02-06
PP431250.1,Zika virus,genomic RNA,S7,,Homo sapiens,Colombia,2016-03-01
PP431249.1,Zika virus,genomic RNA,88-07-O,clinical,Homo sapiens,Colombia,2016-02-16
PP431248.1,Zika virus,genomic RNA,88-03-O,clinical,Homo sapiens,Colombia,2016-02-16
PP431247.1,Zika virus,genomic RNA,2-37-O,clinical,Homo sapiens,Colombia,2016-06-02
PP431246.1,Zika virus,genomic RNA,2-33-O,clinical,Homo sapiens,Colombia,2016-05-11
PP431245.1,Zika virus,genomic RNA,2-31-O,clinical,Homo sapiens,Colombia,2016-10-05
PP431244.1,Zika virus,genomic RNA,2-28-O,clinical,Homo sapiens,Colombia,2016-04-28
PP431243.1,Zika virus,genomic RNA,2-27-S,clinical,Homo sapiens,Colombia,2016-04-27
PP431242.1,Zika virus,genomic RNA,2-27-O,clinical,Homo sapiens,Colombia,2016-04-27
PP431241.1,Zika virus,genomic RNA,2-25-O,clinical,Homo sapiens,Colombia,2016-04-21
