header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
PQ849442.1,Zika virus,genomic RNA,Zika virus/H.sapiens-tc/KHM/2010/FSS13025,,Homo sapiens,Cambodia,2010
PQ008648.1,Zika virus,genomic RNA,PD5588109,plasma,Homo sapiens,Seychelles,20-Apr-2024
PQ129495.1,Zika virus,genomic RNA,BD_147,,Homo sapiens,Bangladesh,2023-12-01
PQ129494.1,Zika virus,genomic RNA,BD_044,,Homo sapiens,Bangladesh,2023-10-23
MW122434.1,Zika virus,genomic RNA,PR/DB-ZIKV885/2016,serum,Homo sapiens,Puerto Rico,19-Jul-2016
MW122415.1,Zika virus,genomic RNA,PR/DB-ZIKV599/2017,serum,Homo sapiens,Puerto Rico,20-Jan-2017
KX377336.1,Zika virus,genomic RNA,,,Aedes aegypti (mosquito),Malaysia,Jul-1966
PP626404.1,Zika virus,genomic RNA,Zika-3259-2011,urine,Homo sapiens,Thailand,2016
PP626402.1,Zika virus,genomic RNA,Z4-ERC-R2,serum,Homo sapiens,Thailand,2017
MT377501.2,Zika virus,genomic RNA,MU-DMSC-5/2017,serum,Homo sapiens,Thailand: Bangkok,22-Nov-2017
MT377493.2,Zika virus,genomic RNA,MU-DMSC-2/2017,serum,Homo sapiens,Thailand: Samut Sakorn,23-Feb-2017
PP316140.1,Zika virus,genomic RNA,Zika virus/human/Haiti/36/2021,serum,Homo sapiens,Haiti,02-Dec-2021
PP316139.1,Zika virus,genomic RNA,Zika virus/human/Haiti/15/2021,serum,Homo sapiens,Haiti,12-May-2021
PP115590.1,Zika virus,genomic RNA,THA_139N,,Homo sapiens,Thailand,2014
OP858784.1,Zika virus,genomic RNA,67,,Homo sapiens,Cuba,02-Jan-2020
OP858774.1,Zika virus,genomic RNA,54,,Homo sapiens,Cuba,20-Mar-2018
OP858772.1,Zika virus,genomic RNA,52,,Homo sapiens,Cuba,22-Mar-2018
OP858770.1,Zika virus,genomic RNA,50,,Homo sapiens,Cuba,16-Feb-2018
OP858763.1,Zika virus,genomic RNA,42,,Homo sapiens,Cuba,22-Oct-2017
ON142674.1,Zika virus,genomic RNA,AB3502,,Homo sapiens,Thailand,05-Jan-2021
